label	x_lm_0	y_lm_0	x_lm_1	y_lm_1	x_lm_2	y_lm_2	x_lm_3	y_lm_3	x_lm_4	y_lm_4	x_lm_5	y_lm_5	x_lm_6	y_lm_6	x_lm_7	y_lm_7	x_lm_8	y_lm_8	x_lm_9	y_lm_9	x_lm_10	y_lm_10	x_lm_11	y_lm_11	x_lm_12	y_lm_12	x_lm_13	y_lm_13	x_lm_14	y_lm_14	x_lm_15	y_lm_15	x_lm_16	y_lm_16	x_lm_17	y_lm_17	x_lm_18	y_lm_18	x_lm_19	y_lm_19	x_lm_20	y_lm_20	x_lm_21	y_lm_21	x_lm_22	y_lm_22	x_lm_23	y_lm_23	x_lm_24	y_lm_24	x_lm_25	y_lm_25	x_lm_26	y_lm_26	x_lm_27	y_lm_27	x_lm_28	y_lm_28	x_lm_29	y_lm_29	x_lm_30	y_lm_30	x_lm_31	y_lm_31	x_lm_32	y_lm_32
idle_standing	0.4896437526	0.737010777	0.5198014975	0.6473317146	0.5389815569	0.6486418843	0.5559640527	0.6499913335	0.450189203	0.647565186	0.4251689911	0.6490193009	0.4049188197	0.6517335773	0.5790565014	0.6843978167	0.3790004849	0.6909275055	0.5266128182	0.814142108	0.4471825063	0.8264583945	0.6783632636	1.069148302	0.2655825615	1.092309952	0.695052743	1.601497889	0.212675482	1.688082695	0.6758173704	1.677698731	0.2165773809	2.087131977	0.6906615496	1.68575716	0.1859832108	2.229402781	0.677470088	1.685866952	0.2365907878	2.2415874	0.6622868776	1.703172922	0.2558241785	2.191063166	0.637786746	2.064757347	0.3764092028	2.082561255	0.6270772815	2.806703806	0.3970521986	2.85725832	0.6234954596	3.497905493	0.3893204033	3.566208839	0.628387928	3.608927727	0.3817044497	3.680515766	0.5923177004	3.758503199	0.4398705363	3.789308071
wiping_table	0.4853489995	0.7297893763	0.5153825283	0.6381764412	0.5348941088	0.6375342607	0.5513795614	0.6370687485	0.4446570873	0.6429712176	0.4199881554	0.6451595426	0.4012950361	0.6484030485	0.574578464	0.6702544093	0.3751283288	0.6886190772	0.5255059004	0.8011023402	0.4441121221	0.8146856427	0.6915344	1.060857534	0.2659822106	1.092030287	0.7124530077	1.603522062	0.218738243	1.695381284	0.6878615618	1.63111949	0.2137717307	2.061739683	0.7029690146	1.642021298	0.1842038631	2.19198823	0.6914334893	1.631082773	0.2333191186	2.19224	0.6737631559	1.638388276	0.2551383376	2.146058083	0.6422590613	2.025054455	0.3815306127	2.051039219	0.6373327374	2.769651651	0.4046364427	2.807221651	0.6332185268	3.432815552	0.4000217915	3.478837013	0.6404029131	3.541407585	0.395735085	3.589021444	0.5961923599	3.678195477	0.4370749891	3.716786385
folding_clothes_motion	0.320119828	0.3293222785	0.3443653286	0.2550557852	0.3618360162	0.256444484	0.3791619539	0.2536243498	0.2853210568	0.2429645956	0.2596667409	0.2401826233	0.235616833	0.2388374507	0.3944087923	0.2681573331	0.1924826205	0.2673773766	0.3491812348	0.4177441895	0.2826250792	0.4110282063	0.4792110324	0.6576669812	0.06337662041	0.6175321937	0.5814817548	1.008415937	-0.1220656484	0.9904541969	0.5743505955	0.8642857075	-0.01893242262	1.082967162	0.5912647247	0.8224790692	-0.02845385112	1.121542215	0.5808409452	0.794919014	0.01056430023	1.100520492	0.5644342899	0.8376449347	0.02207719348	1.094600439	0.4533363879	1.598780274	0.1813186854	1.617867231	0.4952985644	2.324579716	0.2517090142	2.391755104	0.5036277175	2.960212469	0.2638629079	3.046575308	0.4981865287	3.075125456	0.2528079152	3.158228159	0.5177670121	3.194939137	0.3351404369	3.265546083
reading_time	0.3202952743	0.3281937242	0.344234556	0.253697902	0.3619537652	0.2556508482	0.379250288	0.2533721924	0.285364449	0.2424792647	0.2592647374	0.240198046	0.2347660959	0.2388971895	0.3952541649	0.2683656812	0.1914067566	0.2688879967	0.3487012982	0.418147862	0.282687217	0.4153163433	0.4795571268	0.6676770449	0.07153008878	0.6186497211	0.5936733484	1.049346447	-0.04063627869	0.9959357381	0.6195855141	1.024277806	0.01324451715	1.073443055	0.6519511938	1.020845771	-0.0009959075833	1.114120841	0.6259921789	1.008488297	0.03249108046	1.090812564	0.6027117372	1.021691561	0.04756482318	1.085449219	0.4547278881	1.596535206	0.185061425	1.609590292	0.496360153	2.338410378	0.252138406	2.390801191	0.5051140785	3.014416218	0.2710788846	3.053968668	0.5046681166	3.129305124	0.2711746693	3.166225195	0.5200379491	3.246515274	0.3358868957	3.275655031
picking_up_items	0.3194335997	0.3004414737	0.3454087377	0.2170485854	0.3635936379	0.2208055556	0.3804764152	0.2223088145	0.286683023	0.2062605917	0.2602868676	0.2034403682	0.2359459698	0.2000743896	0.3974192441	0.2503443062	0.1940089762	0.2268197984	0.3479267955	0.3839962482	0.2788054347	0.3736073375	0.476257652	0.6772330999	0.06629277766	0.6172817945	0.5407477021	1.175865769	0.03788593039	1.166329503	0.5626655221	1.364294648	0.06183023378	1.506666183	0.6030656099	1.43956399	0.04087751359	1.641788006	0.5722905397	1.456984162	0.09107716382	1.65482223	0.5467517376	1.425811768	0.1045941263	1.603319168	0.4355889857	1.618135929	0.1754027158	1.634361744	0.4766533971	2.362379313	0.2393989861	2.419995546	0.4902916849	3.025295734	0.2541844845	3.091460943	0.4881850779	3.1444664	0.2423157692	3.217151165	0.4980303347	3.265083551	0.3207424581	3.315351248
slouching	0.3237881064	0.300567925	0.3457767665	0.2174898982	0.3637873232	0.2208672911	0.3805247247	0.2224273831	0.2899669707	0.2077231109	0.2670818865	0.204466179	0.2429005355	0.2020279169	0.3957346678	0.2503791153	0.1950748861	0.2374046296	0.3499280512	0.3843643069	0.2884586453	0.3745045662	0.4755120277	0.6799254417	0.0672294274	0.6176617146	0.5451372862	1.146665096	0.01446083654	1.112795472	0.5490368009	0.9537879229	-0.0219055973	1.436587572	0.5747243166	0.877283752	-0.05776211619	1.535121322	0.5622956753	0.8630470037	-0.02530459128	1.532672286	0.5400043726	0.8996428847	-0.006192974281	1.498608351	0.4375991821	1.618199706	0.1756258309	1.634374619	0.4765676558	2.368252039	0.2422108352	2.418169737	0.4901965559	3.050207138	0.2566521466	3.088963747	0.4880136847	3.169130564	0.244671151	3.212980509	0.5002779365	3.285787344	0.3235882521	3.312789917
picking_up_items	0.3223674893	0.3063130677	0.3450496495	0.2256623805	0.3629236817	0.2307763249	0.3797864616	0.2332021445	0.2887881398	0.2144319713	0.2653820515	0.2106826752	0.2412045449	0.2085425854	0.3966889977	0.2616551816	0.194528237	0.2428923994	0.3479119241	0.3894102275	0.2825440764	0.3775034249	0.4784201086	0.6896871924	0.06788711995	0.6175118089	0.5614530444	1.112694383	-0.1069225073	1.056478143	0.5694164038	0.8475024104	-0.1509615332	1.354285479	0.5949479938	0.7576480508	-0.1972601861	1.440253735	0.5872350335	0.7310766578	-0.1450184882	1.453752279	0.5615163445	0.7780573368	-0.1229550093	1.424485922	0.4338608682	1.615380526	0.178564027	1.627791882	0.4638234675	2.359822512	0.2290253341	2.393429041	0.470004499	3.011642694	0.237830162	3.05972147	0.4647737443	3.127744436	0.2311481684	3.178442001	0.4816739559	3.220947981	0.3017703891	3.261835337
slouching	0.3222989142	0.3062342405	0.3449154198	0.2237167209	0.3629218638	0.2273593247	0.3797976375	0.2285048664	0.2883367538	0.2146921605	0.2645271122	0.2112651765	0.2398702204	0.2091584802	0.397882849	0.2595955431	0.1940108985	0.2435276806	0.3479205668	0.3895032108	0.2825397551	0.3804436624	0.4834780097	0.6842009425	0.07296727598	0.6185068488	0.6415448785	1.112734556	-0.0269289948	1.089802027	0.6243587732	0.632832408	0.001841107034	1.334297419	0.6480309367	0.5069450736	-0.02251288109	1.416054964	0.6214466095	0.4753825665	0.02811081149	1.426659942	0.6185811162	0.5477300882	0.04361579567	1.400859833	0.4557331204	1.615058899	0.196725592	1.629027009	0.508308351	2.380451679	0.2664711475	2.405779839	0.523035109	3.037765265	0.2815861702	3.095629454	0.5171222687	3.152564049	0.2706722319	3.223712206	0.5539921522	3.26503706	0.3620125651	3.298084259
arms_crossed_refusal	0.7153436542	0.2808205783	0.7250554562	0.2116149217	0.7353357077	0.2106100321	0.7458475828	0.2095216364	0.692984879	0.2081845552	0.6832595468	0.2060700059	0.6735448241	0.2047379315	0.7599670291	0.2232733667	0.6664114594	0.2238663137	0.7453116179	0.3430785537	0.6966324449	0.3467018008	0.8889654279	0.5345849395	0.573129952	0.5797650814	0.9571483731	0.966268301	0.568934679	0.9831541181	0.8418304324	1.172554135	0.5682294965	1.360384107	0.8145918846	1.262675166	0.5591111779	1.488322616	0.7854038477	1.240861535	0.5824197531	1.466745377	0.7893673778	1.204561472	0.5931637287	1.414911151	0.8663691282	1.367990136	0.6460841894	1.375754595	0.8582824469	2.038021326	0.6479870081	2.051719904	0.855547905	2.584079266	0.6425645351	2.631468296	0.8607257009	2.670898199	0.6419368982	2.723810196	0.8165852427	2.769025087	0.6605887413	2.82331109
arms_crossed_refusal	0.681953311	0.3740001619	0.6976800561	0.3215899765	0.7102159262	0.3204459548	0.7199807763	0.3198773563	0.6687104702	0.3201564252	0.6620553136	0.3189292848	0.6545362473	0.3181764483	0.7298473716	0.3491919339	0.6530148983	0.3504623771	0.7073890567	0.436865449	0.6637676954	0.440074116	0.843257308	0.6971243024	0.5526137352	0.6999721527	0.9151557088	1.136001706	0.4617642462	0.9959087968	0.8938590884	1.465098262	0.4841729701	0.9143950343	0.9116929173	1.589114189	0.467571646	0.9900814295	0.8781971931	1.598385453	0.496556133	0.9321263433	0.8690010905	1.550993323	0.5097275376	0.8914359808	0.8100299835	1.518550754	0.594173491	1.507623434	0.8044373393	2.140963316	0.6014009714	2.116479635	0.8064908981	2.75532198	0.60342592	2.736820221	0.8138486743	2.850296974	0.6042562723	2.836981535	0.7629441023	2.941461802	0.6105276942	2.909130096
